etalab;finess;nom;;;;departement;region;ville;telephone;categorie;adresse
10002335;10002327;PHARMACIE ORSET;625;AV;LEON BLUM;1;AIN;01500 AMBERIEU EN BUGEY;474380065;Pharmacie d'Officine;625 AV LEON BLUM
10002350;10002343;PHARMACIE GUSTIN;68;AV;ROGER SALENGRO;1;AIN;01500 AMBERIEU EN BUGEY;474468146;Pharmacie d'Officine;68 AV ROGER SALENGRO
10002384;10002376;SELARL PHARMACIE VINOIS;;RTE;DE LA MAIRIE;1;AIN;01330 AMBERIEUX EN DOMBES;474008311;Pharmacie d'Officine;RTE DE LA MAIRIE
10002400;10002392;PHARMACIE BEDOY;112;;Grand Rue;1;AIN;01500 AMBRONAY;474381803;Pharmacie d'Officine;112 Grand Rue
10002434;10002426;SARL GABRIELLE GROSS;;RTE;DE DORTAN;1;AIN;01100 ARBENT;474773819;Pharmacie d'Officine;RTE DE DORTAN
10002459;690039904;;48;R;DU PELOUX;1;AIN;01000 BOURG EN BRESSE;437621490;Ecoles Formant aux Professions Sociales;48 R DU PELOUX
10002467;10002442;PHARMACIE D'ARS ET DOMBES;310;R;Jean Marie Vianney;1;AIN;01480 ARS SUR FORMANS;474007732;Pharmacie d'Officine;310 R Jean Marie Vianney
10002483;10002475;PHARMACIE COUZON ICARD;24;R;DE SAVOIE;1;AIN;01510 ARTEMARE;479873005;Pharmacie d'Officine;24 R DE SAVOIE
10002517;10002491;PHARMACIE D'ATTIGNAT;568;;GRANDE RUE;1;AIN;01340 ATTIGNAT;474309060;Pharmacie d'Officine;568 GRANDE RUE
10002533;10002525;PHARMACIE DES BAGE;300;RTE;de Montrevel;1;AIN;01380 BAGE DOMMARTIN;385304167;Pharmacie d'Officine;300 RTE de Montrevel
10002566;10002541;PHARMACIE DE BELLIGNAT;3;PL;DES ARCADES;1;AIN;01100 BELLIGNAT;474737916;Pharmacie d'Officine;3 PL DES ARCADES
10002582;10002574;PHARMACIE DE BELIGNEUX;87;RTE;DE GENEVE;1;AIN;01360 BELIGNEUX;478062147;Pharmacie d'Officine;87 RTE DE GENEVE
10002616;10002590;PHARMACIE DU CREDO;;AV;de Lattre de Tassigny;1;AIN;01200 VALSERHONE;450482726;Pharmacie d'Officine;AV de Lattre de Tassigny
10002632;10002624;PHARMACIE DU MORTIER;40;R;de la République;1;AIN;01200 VALSERHONE;;Pharmacie d'Officine;40 R de la République
10002657;10002640;PHARMACIE MANNIER;20;R;PARMENTIER;1;AIN;01200 VALSERHONE;450482338;Pharmacie d'Officine;20 R PARMENTIER
10002673;10002665;GRANDE PHARMACIE DE BELLEGARDE;69;R;DE LA REPUBLIQUE;1;AIN;01200 VALSERHONE;450480733;Pharmacie d'Officine;69 R DE LA REPUBLIQUE
10002707;10002681;PHARMACIE DE LA VALSERINE;25;R;DE LA REPUBLIQUE;1;AIN;01200 VALSERHONE;450560452;Pharmacie d'Officine;25 R DE LA REPUBLIQUE
10002723;10002715;PHARMACIE  CAVAGNA;61;;GRANDE RUE;1;AIN;01300 BELLEY;479810035;Pharmacie d'Officine;61 GRANDE RUE
10002756;10002731;PHARMACIE GALENUS;1;R;DE LA REPUBLIQUE;1;AIN;01300 BELLEY;479810019;Pharmacie d'Officine;1 R DE LA REPUBLIQUE
10002772;10002764;GRANDE PHARMACIE DES TERREAUX;7;PL;DES TERREAUX;1;AIN;01300 BELLEY;479810244;Pharmacie d'Officine;7 PL DES TERREAUX
10002798;10009033;;1;R;DE CROUY;1;AIN;01000 BOURG EN BRESSE;474321890;Ecoles Formant aux Professions Sociales;1 R DE CROUY
10002806;10002780;D2L - PHARMACIE BELLEYSANNE;2;BD;DE VERDUN;1;AIN;01300 BELLEY;479812770;Pharmacie d'Officine;2 BD DE VERDUN
10002822;10002814;PHARMACIE DE BEYNOST;5;PL;DE LA DOMBE;1;AIN;01700 BEYNOST;472258179;Pharmacie d'Officine;5 PL DE LA DOMBE
10002848;10783009;SAMSAH CTRE RESSOURCES LESES CEREBRAUX;12;R;DU PELOUX;1;AIN;01000 BOURG EN BRESSE;474212680;Service d'accompagnement médico-social adultes handicapés;12 R DU PELOUX
10002855;10002830;PHARMACIE DE LA BOISSE;55;R;DE LA MEULE;1;AIN;01120 LA BOISSE;478060197;Pharmacie d'Officine;55 R DE LA MEULE
10002905;10002897;PHARMACIE DE LA PREFECTURE;21;AV;ALSACE LORRAINE;1;AIN;01000 BOURG EN BRESSE;474234660;Pharmacie d'Officine;21 AV ALSACE LORRAINE
10002921;10002913;PHARMACIE DE LA CROIX BLANCHE;41;AV;AMEDEE MERCIER;1;AIN;01000 BOURG EN BRESSE;474222422;Pharmacie d'Officine;41 AV AMEDEE MERCIER
10002954;10002947;PHARMACIE SIMONIN;68;AV;DE PARME;1;AIN;01000 BOURG EN BRESSE;474233079;Pharmacie d'Officine;68 AV DE PARME
10002970;10002962;PHARMACIE CALMELS;146;BD;DE BROU;1;AIN;01000 BOURG EN BRESSE;474222052;Pharmacie d'Officine;146 BD DE BROU
10003002;10002996;PHARMACIE DES ARCADES;18;R;GAMBETTA;1;AIN;01000 BOURG EN BRESSE;474235473;Pharmacie d'Officine;18 R GAMBETTA
10003036;10003010;PHARMACIE LA REYSSOUZE;17;BD;IRENE JOLIOT CURIE;1;AIN;01000 BOURG EN BRESSE;474452681;Pharmacie d'Officine;17 BD IRENE JOLIOT CURIE
10003051;10003044;PHARMACIE DU PLATEAU;3;AV;JEAN JAURES;1;AIN;01000 BOURG EN BRESSE;474213593;Pharmacie d'Officine;3 AV JEAN JAURES
10003069;10003028;SAVS VIVRE EN VILLE 01 BOURG-EN BRESSE;14;R;DE LA GRENOUILLERE;1;AIN;01000 BOURG EN BRESSE;474224967;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);14 R DE LA GRENOUILLERE
10003085;10003077;PHARMACIE DU FAUBOURG;12;AV;DE MACON;1;AIN;01000 BOURG EN BRESSE;474223106;Pharmacie d'Officine;12 AV DE MACON
10003101;10003093;PHARMACIE LAINE;35;AV;MAGINOT;1;AIN;01000 BOURG EN BRESSE;474232331;Pharmacie d'Officine;35 AV MAGINOT
10003119;10003028;"SERVICE D'ACCUEIL DE JOUR - ASSOCIATION ""VIVRE EN VILLE 01""";14;R;DE LA GRENOUILLERE;1;AIN;01000 BOURG EN BRESSE;474224967;Etablissement Expérimental pour Adultes Handicapés;14 R DE LA GRENOUILLERE
10003135;10003127;SELARL SELIGNAT;45;R;MARECHAL FOCH;1;AIN;01000 BOURG EN BRESSE;474221729;Pharmacie d'Officine;45 R MARECHAL FOCH
10003150;10003143;PHARMACIE DES VENNES;14;R;MOLIERE;1;AIN;01000 BOURG EN BRESSE;474212019;Pharmacie d'Officine;14 R MOLIERE
10003184;10003176;PHARMACIE DU CARREFOUR;;BD;CHARLES DE GAULLE;1;AIN;01000 BOURG EN BRESSE;474452282;Pharmacie d'Officine;BD CHARLES DE GAULLE
10003200;10003192;PHARMACIE BRESSANE;;R;DU STAND;1;AIN;01000 BOURG EN BRESSE;474211512;Pharmacie d'Officine;R DU STAND
10003218;750050916;;1;R;DU DOCTEUR DUBY;1;AIN;01000 BOURG EN BRESSE;474221332;Institut Médico-Educatif (I.M.E.);1 R DU DOCTEUR DUBY
10003267;10003242;PHARMACIE PASTEUR;19;R;NOTRE DAME;1;AIN;01000 BOURG EN BRESSE;474226750;Pharmacie d'Officine;19 R NOTRE DAME
10003283;10003275;PHARMACIE DU NORD;16;AV;DE MARBOZ;1;AIN;01000 BOURG EN BRESSE;474247186;Pharmacie d'Officine;16 AV DE MARBOZ
10003317;10003291;PHARMACIE BOUVIER;;RES;DE CESSY;1;AIN;01170 CESSY;450414060;Pharmacie d'Officine;RES DE CESSY
10003333;10003325;PHARMACIE DE CEYZERIAT;2;AV;DU REVERMONT;1;AIN;01250 CEYZERIAT;474300061;Pharmacie d'Officine;2 AV DU REVERMONT
10003358;10003309;;2;RTE;DE LA FORGE;1;AIN;01100 BELLIGNAT;474739237;Résidences autonomie;2 RTE DE LA FORGE
10003366;10003341;PHARMACIE OLIVA-SEVAIN;;PL;DU MARCHE;1;AIN;01320 CHALAMONT;474362175;Pharmacie d'Officine;PL DU MARCHE
10003382;10003374;PHARMACIE DU VALROMEY;214;;Grand Rue;1;AIN;01260 CHAMPAGNE EN VALROMEY;479876144;Pharmacie d'Officine;214 Grand Rue
10003416;10003390;SELARL PHARMACIE DE LA MICHAILLE;648;R;Aimé Bonneville;1;AIN;01200 VALSERHONE;;Pharmacie d'Officine;648 R Aimé Bonneville
10003432;10003424;PHARMACIE CHANEL;145;AV;MARECHAL FOCH;1;AIN;01400 CHATILLON SUR CHALARONNE;474550081;Pharmacie d'Officine;145 AV MARECHAL FOCH
10003473;10003465;PHIE LUGINBUHL-BERNADAC & ASSOCIES;;;GRANDE RUE;1;AIN;01270 COLIGNY;474301154;Pharmacie d'Officine;GRANDE RUE
10003507;10003481;PHARMACIE DU FORT;100;GR;;1;AIN;01550 COLLONGES;450596017;Pharmacie d'Officine;100 GR
10003523;10003515;PHARMACIE DU COLOMBIER;1;AV;JEAN FALCONNIER;1;AIN;01350 CULOZ;479870017;Pharmacie d'Officine;1 AV JEAN FALCONNIER
10003549;10780054;;900;RTE;PARIS;1;AIN;01012 BOURG EN BRESSE CEDEX;474454383;Ecoles Formant aux Professions Sanitaires;900 RTE PARIS
10003556;10003531;PHARMACIE DE DAGNEUX;1147;R;DE GENEVE;1;AIN;01120 DAGNEUX;478062335;Pharmacie d'Officine;1147 R DE GENEVE
10003572;10003564;PHARMACIE DES BAINS;31;R;DES BAINS;1;AIN;01220 DIVONNE LES BAINS;450200057;Pharmacie d'Officine;31 R DES BAINS
10003598;10008407;;1;RTE;DE VEYZIAT;1;AIN;01117 OYONNAX CEDEX;474731121;Ecoles Formant aux Professions Sanitaires;1 RTE DE VEYZIAT
10003606;10003580;PHARMACIE CENTRALE;132;;GRANDE RUE;1;AIN;01220 DIVONNE LES BAINS;450200093;Pharmacie d'Officine;132 GRANDE RUE
10003622;10003614;PHARMACIE DE DORTAN;;R;COLONEL ROMANS PETIT;1;AIN;01590 DORTAN;474777161;Pharmacie d'Officine;R COLONEL ROMANS PETIT
10003655;10003630;PHARMACIE DE FAREINS;279;RTE;de Flechères;1;AIN;01480 FAREINS;474678715;Pharmacie d'Officine;279 RTE de Flechères
10003671;10003663;PHARMACIE DE FEILLENS;210;;GRANDE RUE;1;AIN;01570 FEILLENS;385300347;Pharmacie d'Officine;210 GRANDE RUE
10003689;10785947;SCE ACCOMPAG.FAM.ET D'ÉDUC.PRÉCOCE-SCE AIDE À L'ACQUISITION;1;R;DES DIMES;1;AIN;01000 BOURG EN BRESSE;474228598;Service d'Éducation Spéciale et de Soins à Domicile;1 R DES DIMES
10003705;10003697;PHARMACIE REVOL;5;AV;VOLTAIRE;1;AIN;01210 FERNEY VOLTAIRE;450407210;Pharmacie d'Officine;5 AV VOLTAIRE
10003721;10003713;PHARMACIE DU LEVANT;6;CHE;DU LEVANT;1;AIN;01210 FERNEY VOLTAIRE;450406897;Pharmacie d'Officine;6 CHE DU LEVANT
10003754;10003747;PHARMACIE DE LA POTERIE;;ZONE;ARTISANALE DE LA POTERIE;1;AIN;01210 FERNEY VOLTAIRE;450409744;Pharmacie d'Officine;ZONE ARTISANALE DE LA POTERIE
10003770;10003762;PHARMACIE DE GEX;;;;1;AIN;01170 GEX;450415275;Pharmacie d'Officine;
10003804;10003796;PHARMACIE ROMAND;;AV;DE LA GARE;1;AIN;01170 GEX;450415404;Pharmacie d'Officine;AV DE LA GARE
10003820;10003812;PHARPAMA;539;R;DES ENTREPRENEURS;1;AIN;01170 GEX;450280146;Pharmacie d'Officine;539 R DES ENTREPRENEURS
10003838;10785921;;111;ALL;DES PEUPLIERS;1;AIN;01700 MIRIBEL;478553247;Centre Accueil Demandeurs Asile (C.A.D.A.);111 ALL DES PEUPLIERS
10003853;10003846;PHARMACIE JEAN-MICHEL GRIZARD;1;R;GUSTAVE LAMBERT;1;AIN;01290 GRIEGES;385316390;Pharmacie d'Officine;1 R GUSTAVE LAMBERT
10003887;10003861;PHARMACIE FREDERIC VALLEE;2;R;JOSEPH VIALLAZ;1;AIN;01110 PLATEAU D HAUTEVILLE;474353007;Pharmacie d'Officine;2 R JOSEPH VIALLAZ
10003903;10003895;PHARMACIE CHRISTELLE BURGAT;297;AV;DU 11 NOVEMBRE 1918;1;AIN;01110 PLATEAU D HAUTEVILLE;474353016;Pharmacie d'Officine;297 AV DU 11 NOVEMBRE 1918
10003937;10003911;PHARMACIE DU CRET;;R;MASONOD;1;AIN;01110 PLATEAU D HAUTEVILLE;474353012;Pharmacie d'Officine;R MASONOD
10003952;10003945;PHARMACIE DES MONTS BERTHIAND;705;;GRANDE  RUE;1;AIN;01580 IZERNORE;474765000;Pharmacie d'Officine;705 GRANDE  RUE
10003978;10003929;"ACCUEIL DE JOUR ""AUX LUCIOLES""";;R;DU COLLÈGE;1;AIN;01600 REYRIEUX;474008501;Centre de Jour pour Personnes Agées;R DU COLLÈGE
10003986;10003960;PHARMACIE DU MARMONT;;R;DU MARMONT;1;AIN;01480 JASSANS RIOTTIER;474608036;Pharmacie d'Officine;R DU MARMONT
10004000;10003994;PHARMACIE BATHIER-BRETTON;;R;JEAN MONNET;1;AIN;01480 JASSANS RIOTTIER;474609221;Pharmacie d'Officine;R JEAN MONNET
10004034;10004026;PHARMACIE DE JUJURIEUX;;AV;DES SPORTS;1;AIN;01640 JUJURIEUX;474368166;Pharmacie d'Officine;AV DES SPORTS
10004059;10783009;;7;R;PERE ADAM;1;AIN;01210 ORNEX;450991100;Etablissement d'hébergement pour personnes âgées dépendantes;7 R PERE ADAM
10004067;10004042;PHARMACIE MATHIEU;1;R;MARCHE  18 RUE PASTEUR;1;AIN;01150 LAGNIEU;474357199;Pharmacie d'Officine;1 R MARCHE  18 RUE PASTEUR
10004083;10004075;PHARMACIE PERDRIX-DANIERE;3;PL;DE LA LIBERTE;1;AIN;01150 LAGNIEU;474357599;Pharmacie d'Officine;3 PL DE LA LIBERTE
10004109;750719312;;66;AV;DU GÉNÉRAL SARRAIL;1;AIN;01500 AMBERIEU EN BUGEY;437610954;Service d'Éducation Spéciale et de Soins à Domicile;66 AV DU GÉNÉRAL SARRAIL
10004117;10004091;S.C.E.M;48;RTE;DU PORT;1;AIN;01150 LAGNIEU;474357666;Pharmacie d'Officine;48 RTE DU PORT
10004133;10004125;PHARMACIE GOENVEC-ESTAVOYER;;;LA CHAPELLE;1;AIN;01410 LELEX;450209233;Pharmacie d'Officine;LA CHAPELLE
10004158;360000707;;408;RTE;DE VILLARS;1;AIN;01400 ROMANS;474422390;Etab.Acc.Médicalisé en tout ou partie personnes handicapées;408 RTE DE VILLARS
10004166;10004141;PHARMACIE DE LENT;;PL;DE LA MAIRIE;1;AIN;01240 LENT;474527471;Pharmacie d'Officine;PL DE LA MAIRIE
10004182;10004174;PHARMACIE DE LOYETTES;171;R;du Bugey;1;AIN;01360 LOYETTES;478327098;Pharmacie d'Officine;171 R du Bugey
10004216;10004190;PHARMACIE DU BOURG;1318;;GRAND'ROUTE;1;AIN;01570 MANZIAT;385361415;Pharmacie d'Officine;1318 GRAND'ROUTE
10004232;10004224;PHARMACIE DE MARBOZ;;R;SAINT CREPIN;1;AIN;01851 MARBOZ;474510001;Pharmacie d'Officine;R SAINT CREPIN
10004257;10004240;PHARMACIE DE MASSIEUX;;CHE;DU PREBLANC;1;AIN;01600 MASSIEUX;478983704;Pharmacie d'Officine;CHE DU PREBLANC
10004273;10004265;PHARMACIE CENTRALE;1;R;DE LYON;1;AIN;01800 MEXIMIEUX;474610012;Pharmacie d'Officine;1 R DE LYON
10004307;10004281;PHARMACIE LUZY-FOULON;22;AV;DE DENKENDORF;1;AIN;01800 MEXIMIEUX;474610536;Pharmacie d'Officine;22 AV DE DENKENDORF
10004323;10004315;PHIE DU CENTRE COMMERCIAL MEXIMIEUX;39;R;DE LYON;1;AIN;01800 MEXIMIEUX;474612877;Pharmacie d'Officine;39 R DE LYON
10004356;10004331;S.E.L PHARMAXINE;156;;Grand rue;1;AIN;01660 MEZERIAT;474302623;Pharmacie d'Officine;156 Grand rue
10004372;10004364;PHARMACIE CENTRALE PIAUD LLEO;1051;;GRANDE RUE;1;AIN;01700 MIRIBEL;478554479;Pharmacie d'Officine;1051 GRANDE RUE
10004398;690793195;ACCUEIL DE JOUR BON REPOS BELLEY;40;R;DU BON REPOS;1;AIN;01300 BELLEY;479810571;Centre de Jour pour Personnes Agées;40 R DU BON REPOS
10004406;10004380;PHARMACIE DES ACACIAS;1138;;GRANDE RUE;1;AIN;01700 MIRIBEL;478551638;Pharmacie d'Officine;1138 GRANDE RUE
10004422;10004414;PHARMACIE VUILLEMENOT-LIEGEON;1422;;GRANDE RUE;1;AIN;01700 MIRIBEL;472258265;Pharmacie d'Officine;1422 GRANDE RUE
10004455;10004430;PHARMACIE  DES AUGUSTINS;187;CRS;CONDE;1;AIN;01120 MONTLUEL;478061021;Pharmacie d'Officine;187 CRS CONDE
10004471;10004463;PHARMACIE DE LA SEREINE;245;;GRANDE RUE;1;AIN;01120 MONTLUEL;478061168;Pharmacie d'Officine;245 GRANDE RUE
10004505;10004497;PHARMACIE SANDRE;14;PL;DE L EGLISE;1;AIN;01090 MONTMERLE SUR SAONE;474693793;Pharmacie d'Officine;14 PL DE L EGLISE
10004521;10004513;PHARMACIE ZAMBUJO;15;AV;DE BRESSE;1;AIN;01460 MONTREAL LA CLUSE;474760666;Pharmacie d'Officine;15 AV DE BRESSE
10004554;10004547;PHARMACIE DU QUEBEC;2;R;de Brolliat;1;AIN;01460 MONTREAL LA CLUSE;474761591;Pharmacie d'Officine;2 R de Brolliat
10004570;10004562;PHARMACIE CENTRALE;25;;GRANDE RUE;1;AIN;01340 MONTREVEL EN BRESSE;474254017;Pharmacie d'Officine;25 GRANDE RUE
10004604;10004596;PHARMACIE DES 4 CHEMINS;1;R;DE LA GARE;1;AIN;01340 MONTREVEL EN BRESSE;474308004;Pharmacie d'Officine;1 R DE LA GARE
10004620;10004612;SARL DES DAPHNEES;55;R;DU DOCTEUR MERCIER;1;AIN;01130 NANTUA;474750050;Pharmacie d'Officine;55 R DU DOCTEUR MERCIER
10004653;10004646;PHARMACIE DU COLLEGE;19;R;DU COLLEGE;1;AIN;01130 NANTUA;474750042;Pharmacie d'Officine;19 R DU COLLEGE
10004687;10004661;SELARL PHARMACIE GLEIZON;;R;de la Bresse;1;AIN;01400 NEUVILLE LES DAMES;474556024;Pharmacie d'Officine;R de la Bresse
10004703;10004695;SADRD PHARMAGALT;1;ARC;D ORNEX;1;AIN;01210 ORNEX;450405386;Pharmacie d'Officine;1 ARC D ORNEX
10004737;10004711;PHARMACIE DE LA VAPEUR;44;R;ANATOLE FRANCE;1;AIN;01100 OYONNAX;474771312;Pharmacie d'Officine;44 R ANATOLE FRANCE
10004752;10004745;PHARMACIE MATZ-VENARD;78;R;ANATOLE FRANCE;1;AIN;01100 OYONNAX;474770069;Pharmacie d'Officine;78 R ANATOLE FRANCE
10004786;10004760;MA PHARMACIE;98;R;ANATOLE FRANCE;1;AIN;01100 OYONNAX;474770326;Pharmacie d'Officine;98 R ANATOLE FRANCE
10004802;10004794;PHARMACIE ANATOLE;100;R;ANATOLE FRANCE;1;AIN;01100 OYONNAX;474730466;Pharmacie d'Officine;100 R ANATOLE FRANCE
10004828;10785806;;10;R;DU DOCTEUR FRANÇOISE DOLTO;1;AIN;01500 AMBERIEU EN BUGEY;474380761;Pouponnière à Caractère Social;10 R DU DOCTEUR FRANÇOISE DOLTO
10004851;10004844;SELARL PHARMACIE DES ROCHETTES;53;R;BRILLAT SAVARIN;1;AIN;01100 OYONNAX;474771432;Pharmacie d'Officine;53 R BRILLAT SAVARIN
10004885;10004877;PHARMACIE CENTRALE;74;R;MICHELET;1;AIN;01100 OYONNAX;474772468;Pharmacie d'Officine;74 R MICHELET
10004901;10004893;PHARMACIE DE LA FORGE;28;R;Saint-Exupéry;1;AIN;01100 OYONNAX;474774419;Pharmacie d'Officine;28 R Saint-Exupéry
10004935;10004927;PHARMACIE DE LA PLAINE;93;CRS;DE VERDUN;1;AIN;01100 OYONNAX;474773106;Pharmacie d'Officine;93 CRS DE VERDUN
10004950;10004943;PHARMACIE CHARREIX-FAVRE;92;CRS;DE VERDUN;1;AIN;01100 OYONNAX;474771453;Pharmacie d'Officine;92 CRS DE VERDUN
10004968;750050916;SERVICE D'ACCOMPAGNEMENT À L'HÉBERGEMENT;15;R;DES CARRONNIERES;1;AIN;01800 MEXIMIEUX;474460809;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);15 R DES CARRONNIERES
10004984;10004976;PHARMACIE DE LA TREFILERIE;240;AV;DE LYON;1;AIN;01960 PERONNAS;474213404;Pharmacie d'Officine;240 AV DE LYON
10005007;10004992;PHARMACIE DE LA MAIRIE;;PL;DE LA MAIRIE;1;AIN;01960 PERONNAS;474218053;Pharmacie d'Officine;PL DE LA MAIRIE
10005023;10005015;SELARL DU CADUCEE;117;RTE;DE BOURG EN BRESSE;1;AIN;01310 POLLIAT;474304048;Pharmacie d'Officine;117 RTE DE BOURG EN BRESSE
10005056;10005031;PHARMACIE DE PONCIN;1;PL;Louis Pasteur;1;AIN;01450 PONCIN;;Pharmacie d'Officine;1 PL Louis Pasteur
